0,,,These statistics will no longer be updated. See more info on the Info-tab.,,,,,,,,,,,,,,,,   Beräkningen är standardiserad för att månader med olika antal dagar ska kunna jämföras. 
1,,,,,,,,,,,,,,,,,,,2 Statistiken för år 2023 är preliminär.
2,,,,,,,,,,,,,,,,,,,
3,"Antal döda per 100 000 invånare1 per månad åren 2015-20232, Riket, län och kommun",,,,,,,,,,,,,,,,,,1 The calculation is based on the population at the start of each month.
4,"Number of deaths per 100 000 inhabitants1 per month, 2015-20232, Country, county and municipal level",,,,,,,,,,,,,,,,,,  The calculation is standardised to ensure comparison between months of different lengths.
5,,,,,,,,,,,,,,,,,,,2 Statistics for 2023 are preliminary.
6,,,,,,,,,,,,,,,,,,,
7,Region,Månad / Month,År / Year,,,,,,,,,,,,,,,,
8,Region,Månad,2015,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,Lan,-,Tabell,MånadNr,,,,
9,Riket,januari,86,85.4,89.9,84.2,79.2,78.2,94.9,85.1,87.5,0,,11. Döda_P_100000_30Dgr,1,,,,
10,Riket,februari,88.9,82.0,85.9,88.2,78.3,75.5,78.0,84.3,73.9,0,,11. Döda_P_100000_30Dgr,2,,,,
11,Riket,mars,85.9,80.1,79.7,90.1,73.6,80.1,72.8,74.5,74.6,0,,11. Döda_P_100000_30Dgr,3,,,,
12,Riket,april,79.2,76.4,77.1,76.9,71.9,102.0,70.4,69.9,61.8,0,,11. Döda_P_100000_30Dgr,4,,,,
13,Riket,maj,72.8,69.8,72.2,66.3,67.4,83.4,67.6,67.7,0.0,0,,11. Döda_P_100000_30Dgr,5,,,,
14,Riket,juni,70,67.7,68.1,65.6,64.6,71.9,63.5,67.1,0.0,0,,11. Döda_P_100000_30Dgr,6,,,,
15,Riket,juli,70.4,70.6,66.7,71.1,65.4,66.2,65.3,68.0,0.0,0,,11. Döda_P_100000_30Dgr,7,,,,
16,Riket,augusti,67.3,69.8,67.3,66.3,66.1,65.1,65.4,69.8,0.0,0,,11. Döda_P_100000_30Dgr,8,,,,
17,Riket,september,71.4,69.1,68.6,68.2,66.5,65.3,68.7,70.3,0.0,0,,11. Döda_P_100000_30Dgr,9,,,,
18,Riket,oktober,71.3,72.8,72.7,70.5,70.7,67.9,69.9,69.9,0.0,0,,11. Döda_P_100000_30Dgr,10,,,,
19,Riket,november,74.6,75.7,74.1,69.5,72.1,79.2,73.1,72.5,0.0,0,,11. Döda_P_100000_30Dgr,11,,,,
20,Riket,december,78.1,82.0,79.0,75.9,74.0,95.0,79.1,90.1,0.0,0,,11. Döda_P_100000_30Dgr,12,,,,
21,Stockholms län,januari,68.9,66.2,68.7,64.7,59.6,60.6,66.8,65.4,65.0,11,,11. Döda_P_100000_30Dgr,1,,,,
22,Stockholms län,februari,68.3,60.3,63.8,67.8,60.3,56.9,54.3,61.1,51.8,11,,11. Döda_P_100000_30Dgr,2,,,,
23,Stockholms län,mars,61.8,59.5,61.6,64.9,55.3,68.2,57.0,52.0,55.0,11,,11. Döda_P_100000_30Dgr,3,,,,
24,Stockholms län,april,58.4,57.9,59.3,60.2,55.3,119.0,56.5,49.4,44.0,11,,11. Döda_P_100000_30Dgr,4,,,,
25,Stockholms län,maj,54.1,54.6,52.3,50.3,50.7,71.5,52.3,47.7,0.0,11,,11. Döda_P_100000_30Dgr,5,,,,
26,Stockholms län,juni,53.9,53.9,53.4,50.8,48.9,57.4,47.0,51.1,0.0,11,,11. Döda_P_100000_30Dgr,6,,,,
27,Stockholms län,juli,56.9,52.9,51.8,61.0,46.7,46.4,47.4,50.2,0.0,11,,11. Döda_P_100000_30Dgr,7,,,,
28,Stockholms län,augusti,52,54.4,51.5,50.9,50.2,47.8,48.7,51.7,0.0,11,,11. Döda_P_100000_30Dgr,8,,,,
29,Stockholms län,september,56,51.2,50.4,50.4,51.7,45.7,51.0,54.1,0.0,11,,11. Döda_P_100000_30Dgr,9,,,,
30,Stockholms län,oktober,56.3,57.7,56.1,56.5,52.8,47.9,50.1,52.4,0.0,11,,11. Döda_P_100000_30Dgr,10,,,,
31,Stockholms län,november,56.6,59.7,56.0,53.2,55.2,63.5,52.1,54.2,0.0,11,,11. Döda_P_100000_30Dgr,11,,,,
